Player ID,Player Name,Team Name,Year,Matches,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Hundreds,Fifties,Fours,Sixes,Catches,Stumpings
20577,Rasikh Dar,DC,Career,11,1,40,10,8.00,40,100.00,0,0,5,0,2,0
20577,Rasikh Dar,DC,2024,8,0,28,10,7.00,30,93.33,0,0,4,0,1,0
20577,Rasikh Dar,DC,2022,2,0,7,7,7.00,6,116.67,0,0,1,0,0,0
20577,Rasikh Dar,DC,2019,1,1,5,5*,0.00,4,125.00,0,0,0,0,1,0
1125,KL Rahul,LSG,Career,131,20,4628,132*,45.37,3438,134.61,4,36,397,184,76,7
1125,KL Rahul,LSG,2024,13,0,465,82,35.77,341,136.36,0,3,42,16,15,2
1125,KL Rahul,LSG,2023,9,1,274,74,34.25,242,113.22,0,2,28,4,4,0
1125,KL Rahul,LSG,2022,15,3,616,103*,51.33,455,135.38,2,4,45,30,9,0
1125,KL Rahul,LSG,2021,13,3,626,98*,62.60,451,138.80,0,6,48,30,11,0
1125,KL Rahul,LSG,2020,14,2,670,132*,55.83,518,129.34,1,5,58,23,10,0
1125,KL Rahul,LSG,2019,14,3,593,100*,53.90,438,135.38,1,6,49,25,7,0
1125,KL Rahul,LSG,2018,14,2,659,95*,54.91,416,158.41,0,6,66,32,10,1
1125,KL Rahul,LSG,2016,14,3,397,68*,44.11,271,146.49,0,4,37,16,5,4
1125,KL Rahul,LSG,2015,9,3,142,44*,28.40,126,112.69,0,0,8,5,1,0
1125,KL Rahul,LSG,2014,11,0,166,46,20.75,164,101.21,0,0,12,3,4,0
1125,KL Rahul,LSG,2013,5,0,20,12,10.00,16,125.00,0,0,4,0,0,0
5430,Devdutt Padikkal,LSG,Career,63,2,1559,101*,25.56,1265,123.24,1,9,169,42,28,0
5430,Devdutt Padikkal,LSG,2024,6,0,38,13,6.33,52,73.08,0,0,3,0,4,0
5430,Devdutt Padikkal,LSG,2023,11,1,261,52,26.10,200,130.50,0,2,31,6,4,0
5430,Devdutt Padikkal,LSG,2022,17,0,376,54,22.12,306,122.88,0,1,40,14,5,0
5430,Devdutt Padikkal,LSG,2021,14,1,411,101*,31.61,328,125.30,1,1,44,14,7,0
5430,Devdutt Padikkal,LSG,2020,15,0,473,74,31.53,379,124.80,0,5,51,8,8,0
834,Quinton de Kock,LSG,Career,107,6,3157,140*,31.26,2352,134.23,2,23,316,123,67,15
834,Quinton de Kock,LSG,2024,11,0,250,81,22.73,186,134.41,0,3,29,9,3,0
834,Quinton de Kock,LSG,2023,4,0,143,70,35.75,102,140.20,0,1,10,8,2,1
834,Quinton de Kock,LSG,2022,15,1,508,140*,36.29,341,148.97,1,3,47,23,12,1
834,Quinton de Kock,LSG,2021,11,1,297,70*,29.70,256,116.01,0,2,29,7,4,2
834,Quinton de Kock,LSG,2020,16,2,503,78*,35.92,358,140.50,0,4,46,22,18,4
834,Quinton de Kock,LSG,2019,16,1,529,81,35.26,398,132.91,0,4,45,25,17,2
834,Quinton de Kock,LSG,2018,8,0,201,53,25.12,162,124.07,0,1,20,8,7,3
834,Quinton de Kock,LSG,2016,13,1,445,108,37.08,327,136.08,1,3,52,13,2,2
834,Quinton de Kock,LSG,2015,3,0,122,69,40.66,77,158.44,0,2,18,4,0,0
834,Quinton de Kock,LSG,2014,7,0,153,48,21.85,130,117.69,0,0,19,4,2,0
834,Quinton de Kock,LSG,2013,3,0,6,4,2.00,15,40.00,0,0,1,0,0,0
1703,Nicholas Pooran,LSG,Career,75,18,1694,77,31.37,1061,159.66,0,8,108,119,32,4
1703,Nicholas Pooran,LSG,2024,13,6,424,64*,60.57,251,168.92,0,2,30,28,7,0
1703,Nicholas Pooran,LSG,2023,15,3,358,62,29.83,207,172.95,0,2,26,26,6,3
1703,Nicholas Pooran,LSG,2022,14,5,306,64*,38.25,212,144.34,0,2,16,21,8,1
1703,Nicholas Pooran,LSG,2021,12,0,85,32,7.72,76,111.84,0,0,3,5,3,0
1703,Nicholas Pooran,LSG,2020,14,4,353,77,35.30,208,169.71,0,2,23,25,7,0
1703,Nicholas Pooran,LSG,2019,7,0,168,48,28.00,107,157.00,0,0,10,14,1,0
1285,Ashton Turner,LSG,Career,6,1,24,16,4.80,28,85.71,0,0,0,2,0,0
1285,Ashton Turner,LSG,2024,2,0,21,16,10.50,18,116.67,0,0,0,2,0,0
1285,Ashton Turner,LSG,2019,4,1,3,3*,1.00,10,30.00,0,0,0,0,0,0
20586,Ayush Badoni,LSG,Career,41,8,612,59*,23.54,463,132.18,0,4,45,22,14,0
20586,Ayush Badoni,LSG,2024,13,3,213,55*,26.63,161,132.30,0,2,21,3,3,0
20586,Ayush Badoni,LSG,2023,15,2,238,59*,23.80,172,138.37,0,1,13,12,2,0
20586,Ayush Badoni,LSG,2022,13,3,161,54,20.13,130,123.85,0,1,11,7,9,0
1556,Deepak Hooda,LSG,Career,117,16,1454,64,18.41,1122,129.59,0,8,95,61,54,0
1556,Deepak Hooda,LSG,2024,10,1,134,50,19.14,96,139.58,0,1,15,3,4,0
1556,Deepak Hooda,LSG,2023,12,1,84,17,7.64,90,93.33,0,0,3,2,10,0
1556,Deepak Hooda,LSG,2022,15,0,451,59,32.21,330,136.67,0,4,36,18,8,0
1556,Deepak Hooda,LSG,2021,12,1,160,64,16.00,123,130.08,0,1,9,9,7,0
1556,Deepak Hooda,LSG,2020,7,4,101,62*,101.00,71,142.25,0,1,5,5,3,0
1556,Deepak Hooda,LSG,2019,11,1,64,20,10.66,63,101.58,0,0,5,1,10,0
1556,Deepak Hooda,LSG,2018,9,4,87,32*,21.75,81,107.40,0,0,2,3,3,0
1556,Deepak Hooda,LSG,2017,10,3,78,19*,26.00,52,150.00,0,0,5,4,5,0
1556,Deepak Hooda,LSG,2016,17,1,144,34,10.28,121,119.00,0,0,9,5,3,0
1556,Deepak Hooda,LSG,2015,14,0,151,54,16.77,95,158.94,0,1,6,11,1,0
3834,Krishnappa Gowtham,LSG,Career,36,9,247,33*,13.72,148,166.89,0,0,15,17,21,0
3834,Krishnappa Gowtham,LSG,2024,1,0,0,0,-,,-,0,0,0,0,1,0
3834,Krishnappa Gowtham,LSG,2023,7,3,61,23,15.25,37,164.86,0,0,2,5,6,0
3834,Krishnappa Gowtham,LSG,2022,4,0,0,0,0.00,1,0.00,0,0,0,0,4,0
3834,Krishnappa Gowtham,LSG,2020,2,1,42,22*,42.00,27,155.55,0,0,3,2,0,0
3834,Krishnappa Gowtham,LSG,2019,7,1,18,9,6.00,19,94.73,0,0,1,1,0,0
3834,Krishnappa Gowtham,LSG,2018,15,4,126,33*,14.00,64,196.87,0,0,9,9,10,0
3183,Krunal Pandya,LSG,Career,126,37,1635,86,22.40,1233,132.60,0,1,143,60,44,0
3183,Krunal Pandya,LSG,2024,13,7,121,43*,30.25,98,123.47,0,0,7,4,1,0
3183,Krunal Pandya,LSG,2023,15,4,188,49,18.80,165,113.94,0,0,15,6,8,0
3183,Krunal Pandya,LSG,2022,14,4,183,42,20.33,145,126.21,0,0,16,4,7,0
3183,Krunal Pandya,LSG,2021,13,2,143,39,14.30,123,116.26,0,0,10,6,6,0
3183,Krunal Pandya,LSG,2020,16,6,109,34,18.16,92,118.47,0,0,9,5,4,0
3183,Krunal Pandya,LSG,2019,16,4,183,42,16.63,150,122.00,0,0,18,5,5,0
3183,Krunal Pandya,LSG,2018,14,3,228,41*,22.80,157,145.22,0,0,22,10,9,0
3183,Krunal Pandya,LSG,2017,13,4,243,47,34.71,179,135.75,0,0,24,7,2,0
3183,Krunal Pandya,LSG,2016,12,3,237,86,39.50,124,191.12,0,1,22,13,2,0
20587,Kyle Mayers,LSG,Career,13,0,379,73,29.15,263,144.11,0,4,38,22,2,0
20587,Kyle Mayers,LSG,2023,13,0,379,73,29.15,263,144.11,0,4,38,22,2,0
964,Marcus Stoinis,LSG,Career,95,22,1838,124*,28.28,1292,142.26,1,9,145,91,24,0
964,Marcus Stoinis,LSG,2024,13,2,360,124*,32.73,241,149.38,1,2,34,16,4,0
964,Marcus Stoinis,LSG,2023,15,2,408,89*,31.38,272,150.00,0,3,28,27,4,0
964,Marcus Stoinis,LSG,2022,11,2,156,38*,19.50,106,147.17,0,0,7,13,4,0
964,Marcus Stoinis,LSG,2021,10,3,89,27*,22.25,72,123.61,0,0,11,1,2,0
964,Marcus Stoinis,LSG,2020,17,3,352,65,25.14,237,148.52,0,3,31,16,3,0
964,Marcus Stoinis,LSG,2019,10,6,211,46*,52.75,156,135.25,0,0,14,10,2,0
964,Marcus Stoinis,LSG,2018,7,3,99,29*,24.75,76,130.26,0,0,6,4,2,0
964,Marcus Stoinis,LSG,2017,5,0,17,9,5.66,24,70.83,0,0,1,0,3,0
964,Marcus Stoinis,LSG,2016,7,1,146,52,36.50,108,135.18,0,1,13,4,0,0
20599,Mohd. Arshad Khan,LSG,Career,9,3,101,58*,33.67,68,148.53,0,1,6,6,3,0
20599,Mohd. Arshad Khan,LSG,2024,3,2,83,58*,83.00,53,156.60,0,1,6,5,1,0
20599,Mohd. Arshad Khan,LSG,2023,6,1,18,15*,9.00,15,120.00,0,0,0,1,2,0
20602,Prerak Mankad,LSG,Career,6,3,97,64*,32.33,73,132.88,0,1,13,2,6,0
20602,Prerak Mankad,LSG,2023,5,2,93,64*,31.00,72,129.17,0,1,12,2,5,0
20602,Prerak Mankad,LSG,2022,1,1,4,4*,-,1,400.00,0,0,1,0,1,0
10842,Yudhvir Singh,LSG,Career,5,0,22,14,5.50,16,137.50,0,0,1,2,0,0
10842,Yudhvir Singh,LSG,2024,2,0,21,14,10.50,14,150.00,0,0,1,2,0,0
10842,Yudhvir Singh,LSG,2023,3,0,1,1,0.50,2,50.00,0,0,0,0,0,0
20691,Arshin Kulkarni,LSG,Career,2,0,9,9,4.50,8,112.50,0,0,2,0,0,0
20691,Arshin Kulkarni,LSG,2024,2,0,9,9,4.50,8,112.50,0,0,2,0,0,0
2758,David Willey,LSG,Career,11,3,53,20*,26.50,62,85.48,0,0,7,0,4,0
2758,David Willey,LSG,2023,4,3,35,20*,-,32,109.38,0,0,4,0,1,0
2758,David Willey,LSG,2022,4,0,18,18,9.00,30,60.00,0,0,3,0,1,0
2758,David Willey,LSG,2018,3,0,0,0,0.00,0,0.00,0,0,0,0,2,0
3779,Shivam Mavi,LSG,Career,32,3,51,20,5.67,56,91.07,0,0,4,2,16,0
3779,Shivam Mavi,LSG,2022,6,1,3,2,1.50,7,42.86,0,0,0,0,4,0
3779,Shivam Mavi,LSG,2021,9,0,25,20,12.50,20,125.00,0,0,2,2,5,0
3779,Shivam Mavi,LSG,2020,8,1,10,9,5.00,14,71.42,0,0,1,0,4,0
3779,Shivam Mavi,LSG,2018,9,1,13,7,4.33,15,86.66,0,0,1,0,3,0
20719,Shamar Joseph,LSG,Career,1,0,0,0,-,,-,0,0,0,0,0,0
20719,Shamar Joseph,LSG,2024,1,0,0,0,-,,-,0,0,0,0,0,0
1505,Matt Henry,LSG,Career,3,0,0,0,-,,-,0,0,0,0,0,0
1505,Matt Henry,LSG,2024,3,0,0,0,-,,-,0,0,0,0,0,0
20585,Mayank Yadav,LSG,Career,4,0,0,0,-,,-,0,0,0,0,1,0
20585,Mayank Yadav,LSG,2024,4,0,0,0,-,,-,0,0,0,0,1,0
4952,Mohsin Khan,LSG,Career,23,2,25,13*,8.33,24,104.17,0,0,2,1,1,0
4952,Mohsin Khan,LSG,2024,9,0,2,2,2.00,1,200.00,0,0,0,0,0,0
4952,Mohsin Khan,LSG,2023,5,0,0,0,0.00,7,0.00,0,0,0,0,0,0
4952,Mohsin Khan,LSG,2022,9,2,23,13*,23.00,16,143.75,0,0,2,1,1,0
19351,Ravi Bishnoi,LSG,Career,65,7,32,6*,4.00,50,64.00,0,0,2,0,19,0
19351,Ravi Bishnoi,LSG,2024,13,0,4,2,1.33,6,66.67,0,0,0,0,3,0
19351,Ravi Bishnoi,LSG,2023,15,4,20,5,6.67,27,74.07,0,0,1,0,9,0
19351,Ravi Bishnoi,LSG,2022,14,1,0,0*,-,1,0.00,0,0,0,0,3,0
19351,Ravi Bishnoi,LSG,2021,9,0,1,1,1.00,4,25.00,0,0,0,0,2,0
19351,Ravi Bishnoi,LSG,2020,14,2,7,6*,7.00,12,58.33,0,0,1,0,2,0
5624,Yash Thakur,LSG,Career,19,0,0,0,-,,-,0,0,0,0,2,0
5624,Yash Thakur,LSG,2024,10,0,0,0,-,,-,0,0,0,0,1,0
5624,Yash Thakur,LSG,2023,9,0,0,0,-,,-,0,0,0,0,1,0
30,Amit Mishra,LSG,Career,155,25,381,31,11.91,419,90.93,0,0,31,5,24,0
30,Amit Mishra,LSG,2024,1,0,0,0,-,,-,0,0,0,0,0,0
30,Amit Mishra,LSG,2023,7,0,19,19,19.00,30,63.33,0,0,2,0,2,0
30,Amit Mishra,LSG,2019,11,2,21,8,10.50,24,87.50,0,0,2,0,1,0
30,Amit Mishra,LSG,2018,10,1,1,1*,0.00,2,50.00,0,0,0,0,0,0
30,Amit Mishra,LSG,2017,14,5,49,13*,49.00,52,94.23,0,0,2,2,3,0
30,Amit Mishra,LSG,2016,14,0,4,3,2.00,14,28.57,0,0,0,0,3,0
30,Amit Mishra,LSG,2015,12,2,8,4,4.00,12,66.66,0,0,0,0,2,0
30,Amit Mishra,LSG,2014,10,1,4,4*,4.00,7,57.14,0,0,0,0,0,0
30,Amit Mishra,LSG,2013,17,2,89,30,14.83,96,92.70,0,0,9,0,2,0
30,Amit Mishra,LSG,2012,14,2,16,8*,5.33,20,80.00,0,0,1,0,1,0
30,Amit Mishra,LSG,2011,14,5,68,25*,17.00,49,138.77,0,0,9,1,2,0
30,Amit Mishra,LSG,2010,14,3,39,12,9.75,51,76.47,0,0,1,0,4,0
30,Amit Mishra,LSG,2009,11,2,26,13*,8.66,20,130.00,0,0,2,2,2,0
