Player ID,Player Name,Team Name,Year,Matches,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Hundreds,Fifties,Fours,Sixes,Catches,Stumpings,Overs,Runs Given,Wickets,Best Bowling,Bowling Average,Bowling Economy,Bowling Strike Rate,4 Wickets,5 Wickets
9,Ravindra Jadeja,CSK,2008,14,2,135,36*,19.28,103,131.06,0,0,11,6,7,0,13,21,0,0/0,-,9.69,-,0,0
1903,Mitchell Santner,CSK,Career,17,5,67,22,13.40,67,100.00,0,0,4,3,6,0,342,399,14,2/13,28.50,7.00,24.43,0,0
1903,Mitchell Santner,CSK,2024,2,0,11,11,5.50,13,84.62,0,0,1,0,1,0,30,41,1,1/10,41.00,8.20,30.00,0,0
1903,Mitchell Santner,CSK,2023,3,2,2,1*,-,4,50.00,0,0,0,0,1,0,72,81,3,2/28,27.00,6.75,24.00,0,0
1903,Mitchell Santner,CSK,2022,6,2,22,11,11.00,27,81.48,0,0,3,0,2,0,114,130,4,1/15,32.50,6.84,28.50,0,0
1903,Mitchell Santner,CSK,2020,2,0,0,0,0.00,0,0.00,0,0,0,0,1,0,42,53,2,1/23,26.50,7.57,21.00,0,0
1903,Mitchell Santner,CSK,2019,4,1,32,22,32.00,23,139.13,0,0,0,3,1,0,84,94,4,2/13,23.50,6.71,21.00,0,0
1735,Moeen Ali,CSK,Career,67,6,1162,93,22.78,821,141.53,0,6,95,67,22,0,758,893,35,4/26,25.51,7.07,21.66,1,0
1735,Moeen Ali,CSK,2024,8,0,128,56,25.60,98,130.61,0,1,7,8,2,0,48,71,2,2/23,35.50,8.88,24.00,0,0
1735,Moeen Ali,CSK,2023,15,3,124,23,17.71,91,136.26,0,0,12,6,4,0,156,195,9,4/26,21.67,7.50,17.33,1,0
1735,Moeen Ali,CSK,2022,10,0,244,93,24.40,177,137.85,0,1,24,11,5,0,143,158,8,3/13,19.75,6.63,17.88,0,0
1735,Moeen Ali,CSK,2021,15,1,357,58,25.50,260,137.30,0,1,31,19,7,0,152,161,6,3/7,26.83,6.35,25.33,0,0
1735,Moeen Ali,CSK,2020,3,0,12,11,4.00,16,75.00,0,0,1,0,1,0,30,42,1,1/21,42.00,8.40,30.00,0,0
1735,Moeen Ali,CSK,2019,11,2,220,66,27.50,133,165.41,0,2,16,17,1,0,150,169,6,2/18,28.16,6.76,25.00,0,0
1735,Moeen Ali,CSK,2018,5,0,77,65,19.25,46,167.39,0,1,4,6,2,0,79,97,3,1/13,32.33,7.36,26.33,0,0
5431,Shivam Dube,CSK,Career,64,11,1495,95*,30.51,1009,148.17,0,9,86,101,19,0,112,180,5,2/15,36.00,9.64,22.40,0,0
5431,Shivam Dube,CSK,2024,13,3,389,66*,38.90,229,169.87,0,3,28,28,2,0,6,14,1,1/14,14.00,14.00,6.00,0,0
5431,Shivam Dube,CSK,2023,16,3,418,52,38.00,264,158.33,0,3,12,35,6,0,0,0,0,-,-,-,-,0,0
5431,Shivam Dube,CSK,2022,11,1,289,95*,28.90,185,156.22,0,2,22,16,6,0,12,36,0,0/11,-,18.00,-,0,0
5431,Shivam Dube,CSK,2021,9,1,230,64*,28.75,193,119.17,0,1,18,10,2,0,30,49,0,0/5,-,9.80,-,0,0
5431,Shivam Dube,CSK,2020,11,2,129,27*,18.42,105,122.85,0,0,5,9,2,0,54,73,4,2/15,18.25,8.11,13.50,0,0
5431,Shivam Dube,CSK,2019,4,1,40,24,13.33,33,121.21,0,0,1,3,1,0,10,8,0,0/3,-,4.80,-,0,0
5615,Nishant Sindhu,CSK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5811,Ajay Mandal,CSK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20684,Rachin Ravindra,CSK,Career,9,0,161,46,17.89,101,159.41,0,0,17,9,8,0,12,7,0,0/3,-,3.50,-,0,0
20684,Rachin Ravindra,CSK,2024,9,0,161,46,17.89,101,159.41,0,0,17,9,8,0,12,7,0,0/3,-,3.50,-,0,0
1745,Shardul Thakur,CSK,Career,94,11,306,68,12.24,219,139.73,0,1,27,13,32,0,1842,2808,92,4/36,30.52,9.15,20.02,1,0
1745,Shardul Thakur,CSK,2024,8,1,20,17,20.00,15,133.33,0,0,2,1,4,0,166,248,3,1/12,82.67,8.96,55.33,0,0
1745,Shardul Thakur,CSK,2023,11,2,113,68,14.13,70,161.43,0,1,13,4,4,0,126,220,7,2/23,31.43,10.48,18.00,0,0
1745,Shardul Thakur,CSK,2022,14,2,120,29*,15.00,87,137.93,0,0,7,7,7,0,290,473,15,4/36,31.53,9.79,19.33,1,0
1745,Shardul Thakur,CSK,2021,16,2,5,3*,2.50,5,100.00,0,0,0,0,2,0,359,527,21,3/28,25.09,8.80,17.09,0,0
1745,Shardul Thakur,CSK,2020,9,1,12,11,12.00,21,57.14,0,0,0,0,2,0,194,275,10,2/28,27.50,8.50,19.40,0,0
1745,Shardul Thakur,CSK,2019,10,1,14,12*,7.00,7,200.00,0,0,1,1,5,0,180,281,8,2/18,35.12,9.36,22.50,0,0
1745,Shardul Thakur,CSK,2018,13,1,15,15*,0.00,5,300.00,0,0,3,0,4,0,280,431,16,2/18,26.93,9.23,17.50,0,0
1745,Shardul Thakur,CSK,2017,12,0,0,0*,0.00,3,0.00,0,0,0,0,4,0,229,315,11,3/19,28.63,8.25,20.81,0,0
1745,Shardul Thakur,CSK,2015,1,1,7,7*,0.00,6,116.66,0,0,1,0,0,0,18,38,1,1/38,38.00,12.66,18.00,0,0
20617,Daryl Mitchell,CSK,Career,14,2,347,63,28.92,261,132.95,0,2,28,10,9,0,48,97,1,1/18,97.00,12.13,48.00,0,0
20617,Daryl Mitchell,CSK,2024,12,2,314,63,31.40,217,144.70,0,2,27,10,7,0,36,70,1,1/18,70.00,11.67,36.00,0,0
20617,Daryl Mitchell,CSK,2022,2,0,33,17,16.50,44,75.00,0,0,1,0,2,0,12,27,0,0/7,-,13.50,-,0,0
20730,Richard Gleeson,CSK,Career,2,1,2,2*,-,2,100.00,0,0,0,0,0,0,47,71,1,1/30,71.00,9.06,47.00,0,0
20730,Richard Gleeson,CSK,2024,2,1,2,2*,-,2,100.00,0,0,0,0,0,0,47,71,1,1/30,71.00,9.06,47.00,0,0
20571,Rajvardhan Hangargekar,CSK,Career,2,0,0,0,-,-,-,0,0,0,0,0,0,36,60,3,3/36,20.00,10.00,12.00,0,0
20571,Rajvardhan Hangargekar,CSK,2023,2,0,0,0,-,-,-,0,0,0,0,0,0,36,60,3,3/36,20.00,10.00,12.00,0,0
140,Deepak Chahar,CSK,Career,81,6,80,39,11.43,59,135.59,0,0,2,6,13,0,1669,2221,77,4/13,28.84,7.98,21.68,2,0
140,Deepak Chahar,CSK,2024,8,0,0,0,-,-,-,0,0,0,0,0,0,141,202,5,2/28,40.40,8.60,28.20,0,0
140,Deepak Chahar,CSK,2023,10,1,1,1*,-,2,50.00,0,0,0,0,1,0,204,297,13,3/22,22.85,8.74,15.69,0,0
140,Deepak Chahar,CSK,2021,15,2,1,1*,0.00,1,100.00,0,0,0,0,5,0,324,451,14,4/13,32.21,8.35,23.14,2,0
140,Deepak Chahar,CSK,2020,14,2,7,5*,7.00,12,58.33,0,0,0,0,3,0,312,396,12,2/18,33.00,7.61,26.00,0,0
140,Deepak Chahar,CSK,2019,17,0,7,7,3.50,9,77.77,0,0,1,0,2,0,387,482,22,3/20,21.90,7.47,17.59,0,0
140,Deepak Chahar,CSK,2018,12,1,50,39,16.66,29,172.41,0,0,1,4,1,0,229,278,10,3/15,27.80,7.28,22.90,0,0
140,Deepak Chahar,CSK,2017,3,0,14,14,14.00,6,233.33,0,0,0,2,0,0,42,74,1,1/35,74.00,10.57,42.00,0,0
140,Deepak Chahar,CSK,2016,2,0,0,0,0.00,0,0.00,0,0,0,0,1,0,30,41,0,0/13,-,8.20,-,0,0
20570,Maheesh Theekshana,CSK,Career,26,1,7,7*,7.00,7,100.00,0,0,0,1,4,0,600,772,25,4/33,30.88,7.72,24.00,1,0
20570,Maheesh Theekshana,CSK,2024,4,0,0,0,-,-,-,0,0,0,0,1,0,96,119,2,1/27,59.50,7.44,48.00,0,0
20570,Maheesh Theekshana,CSK,2023,13,0,0,0,-,-,-,0,0,0,0,3,0,294,392,11,2/23,35.64,8.00,26.73,0,0
20570,Maheesh Theekshana,CSK,2022,9,1,7,7*,7.00,7,100.00,0,0,0,1,0,0,210,261,12,4/33,21.75,7.46,17.50,1,0
20575,Mukesh Choudhary,CSK,Career,14,1,6,4,6.00,6,100.00,0,0,1,0,3,0,279,451,16,4/46,28.19,9.70,17.44,1,0
20575,Mukesh Choudhary,CSK,2024,1,0,0,0,-,-,-,0,0,0,0,0,0,6,27,0,0/27,-,27.00,-,0,0
20575,Mukesh Choudhary,CSK,2022,13,1,6,4,6.00,6,100.00,0,0,1,0,3,0,273,424,16,4/46,26.50,9.32,17.06,1,0
1594,Mustafizur Rahman,CSK,Career,57,8,13,8*,13.00,23,56.52,0,0,0,1,7,0,1298,1762,61,4/29,28.89,8.14,21.28,1,0
1594,Mustafizur Rahman,CSK,2024,9,0,0,0,-,-,-,0,0,0,0,1,0,206,318,14,4/29,22.71,9.26,14.71,1,0
1594,Mustafizur Rahman,CSK,2023,2,1,1,1*,-,1,100.00,0,0,0,0,0,0,42,79,1,1/38,79.00,11.29,42.00,0,0
1594,Mustafizur Rahman,CSK,2022,8,1,3,3*,-,5,60.00,0,0,0,0,1,0,192,244,8,3/18,30.50,7.63,24.00,0,0
1594,Mustafizur Rahman,CSK,2021,14,5,8,8*,0.00,14,57.14,0,0,0,1,1,0,311,436,14,3/20,31.14,8.41,22.21,0,0
